riding_code,riding_name,province,region,LPC_pct,CPC_pct,NDP_pct,BQ_pct,GPC_pct,PPC_pct,winner,total_votes
24052,Notre-Dame-de-Grâce--Westmount,Quebec,QC,63.99,19.66,7.4,4.96,2.49,0.48,LPC,53490
24053,Outremont,Quebec,QC,55.2,12.54,10.66,11.97,9.63,0.0,LPC,47142
24054,Papineau,Quebec,QC,52.98,10.57,16.32,16.57,0.0,0.98,LPC,46619
24055,Pierre-Boucher--Les Patriotes--Verchères,Quebec,QC,38.79,11.81,2.47,46.08,0.0,0.85,BQ,62426
24056,Pierrefonds--Dollard,Quebec,QC,60.08,30.55,2.82,5.42,0.0,0.58,LPC,57136
24057,Pontiac--Kitigan Zibi,Quebec,QC,54.6,27.6,5.06,10.33,1.27,1.15,LPC,58773
24058,Portneuf--Jacques-Cartier,Quebec,QC,29.05,49.56,1.59,17.87,1.12,0.81,CPC,64941
24059,Québec Centre/Québec-Centre,Quebec,QC,49.5,0.0,7.81,35.87,0.0,5.0,LPC,56319
24060,Repentigny,Quebec,QC,38.75,15.21,2.73,42.2,0.0,0.61,BQ,63015
24061,Richmond--Arthabaska,Quebec,QC,32.98,35.5,2.0,27.33,0.0,1.13,CPC,62546
24062,Rimouski--La Matapédia,Quebec,QC,35.53,13.55,1.8,46.16,0.0,0.63,BQ,54040
24063,Rivière-des-Mille-Îles,Quebec,QC,45.63,17.36,2.12,32.84,1.23,0.51,LPC,59887
24064,Rivière-du-Nord,Quebec,QC,31.62,21.03,3.5,43.85,0.0,0.0,BQ,58018
24065,Rosemont--La Petite-Patrie,Quebec,QC,31.57,6.85,40.99,18.28,2.3,0.0,NDP,59420
24066,Saint-Hyacinthe--Bagot--Acton,Quebec,QC,33.64,17.99,2.37,43.88,1.38,0.74,BQ,57986
24067,Saint-Jean,Quebec,QC,34.26,16.32,2.57,44.34,1.54,0.97,BQ,64215
24068,Saint-Laurent,Quebec,QC,58.89,28.24,4.49,5.71,1.57,0.79,LPC,44185
24069,Saint-Léonard--Saint-Michel,Quebec,QC,65.34,20.59,5.97,7.15,0.0,0.94,LPC,41066
24070,Saint-Maurice--Champlain,Quebec,QC,49.96,24.62,1.97,21.19,1.13,0.73,LPC,62240
24071,Shefford,Quebec,QC,39.25,17.12,2.34,40.11,0.0,1.18,BQ,66631
24072,Sherbrooke,Quebec,QC,51.29,13.1,5.77,26.63,2.27,0.95,LPC,60931
24073,Terrebonne,Quebec,QC,38.74,18.18,2.58,38.74,1.05,0.71,LPC,60278
24074,Thérèse-De Blainville,Quebec,QC,45.84,18.66,2.46,32.34,0.0,0.69,LPC,64397
24075,Trois-Rivières,Quebec,QC,41.01,27.25,2.34,27.6,0.93,0.52,LPC,61317
24076,Vaudreuil,Quebec,QC,57.87,22.85,2.26,14.93,1.35,0.74,LPC,70818
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,QC,63.7,18.78,6.04,8.99,2.05,0.0,LPC,48519
24078,Vimy,Quebec,QC,53.41,24.72,4.71,17.16,0.0,0.0,LPC,49677
35001,Ajax,Ontario,ON,56.32,39.08,2.68,0.0,0.93,0.0,LPC,65650
35002,Algonquin--Renfrew--Pembroke,Ontario,ON,37.81,55.71,3.68,0.0,0.92,0.0,CPC,67018
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,ON,42.77,54.73,1.34,0.0,0.75,0.41,CPC,62169
35004,Barrie South--Innisfil/Barrie-Sud--Innisfil,Ontario,ON,37.96,57.84,3.16,0.0,0.0,1.03,CPC,67325
35005,Barrie--Springwater--Oro-Medonte,Ontario,ON,44.36,51.67,2.37,0.0,1.36,0.0,CPC,65709
35006,Bay of Quinte,Ontario,ON,50.39,44.69,3.64,0.0,1.28,0.0,LPC,65182
35007,Beaches--East York,Ontario,ON,67.75,23.54,6.85,0.0,1.27,0.0,LPC,58755
35008,Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord,Ontario,ON,45.51,49.77,2.87,0.0,0.77,0.0,CPC,70788
35009,Brampton Centre/Brampton-Centre,Ontario,ON,48.37,46.87,2.66,0.0,1.15,0.71,LPC,40760
35010,Brampton--Chinguacousy Park,Ontario,ON,48.85,44.44,2.66,0.0,1.18,1.68,LPC,44080
35011,Brampton East/Brampton-Est,Ontario,ON,48.59,44.71,1.69,0.0,0.0,4.74,LPC,48605
35012,Brampton North--Caledon/Brampton-Nord--Caledon,Ontario,ON,49.03,47.44,2.16,0.0,0.0,1.36,LPC,46595
35013,Brampton South/Brampton-Sud,Ontario,ON,49.33,47.51,1.74,0.0,0.0,0.8,LPC,44603
35014,Brampton West/Brampton-Ouest,Ontario,ON,47.64,49.81,1.67,0.0,0.66,0.0,CPC,42387
35015,Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations,Ontario,ON,41.09,52.44,3.66,0.0,1.69,0.6,CPC,65793
35016,Bruce--Grey--Owen Sound,Ontario,ON,40.11,53.03,3.09,0.0,2.16,0.78,CPC,66911
35017,Burlington,Ontario,ON,55.8,40.56,1.98,0.0,0.76,0.67,LPC,78126
35018,Burlington North--Milton West/Burlington-Nord--Milton-Ouest,Ontario,ON,52.75,44.25,2.14,0.0,0.0,0.86,LPC,70441
35019,Cambridge,Ontario,ON,46.33,48.56,3.34,0.0,1.61,0.0,CPC,65419
35020,Carleton,Ontario,ON,50.95,45.7,1.42,0.0,0.65,0.0,LPC,86060
35021,Chatham-Kent--Leamington,Ontario,ON,35.91,57.51,4.07,0.0,1.05,1.47,CPC,72351
35022,Davenport,Ontario,ON,57.81,23.19,17.09,0.0,1.28,0.0,LPC,61174
35023,Don Valley North/Don Valley-Nord,Ontario,ON,53.21,42.34,2.45,0.0,0.92,0.54,LPC,48527
35024,Don Valley West/Don Valley-Ouest,Ontario,ON,62.63,33.21,2.36,0.0,1.05,0.0,LPC,58664
35025,Dufferin--Caledon,Ontario,ON,35.16,60.14,1.95,0.0,1.31,1.07,CPC,70595
35026,Eglinton--Lawrence,Ontario,ON,49.29,47.83,1.64,0.0,0.71,0.54,LPC,60761
35027,Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud,Ontario,ON,43.13,50.14,4.8,0.0,0.0,1.93,CPC,64949
35028,Essex,Ontario,ON,36.65,57.52,4.77,0.0,0.0,1.05,CPC,80181
35029,Etobicoke Centre/Etobicoke-Centre,Ontario,ON,53.6,44.01,2.39,0.0,0.0,0.0,LPC,67510
35030,Etobicoke--Lakeshore,Ontario,ON,57.41,38.8,2.55,0.0,0.0,0.94,LPC,65338
35031,Etobicoke North/Etobicoke-Nord,Ontario,ON,52.58,40.98,3.2,0.0,0.93,2.0,LPC,42355
35032,Flamborough--Glanbrook--Brant North/Flamborough--Glanbrook--Brant-Nord,Ontario,ON,43.23,52.7,2.44,0.0,0.89,0.75,CPC,66884
35033,Guelph,Ontario,ON,54.67,30.74,3.2,0.0,10.18,0.75,LPC,66593
35034,Haldimand--Norfolk,Ontario,ON,36.37,57.56,3.37,0.0,1.05,0.92,CPC,71606
35035,Haliburton--Kawartha Lakes,Ontario,ON,38.7,56.56,3.48,0.0,0.0,1.26,CPC,75503
35036,Hamilton Centre/Hamilton-Centre,Ontario,ON,37.55,29.99,29.11,0.0,1.44,1.04,LPC,56952
35037,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Ontario,ON,46.51,48.7,3.66,0.0,0.0,1.13,CPC,67468
35038,Hamilton Mountain,Ontario,ON,45.58,41.5,11.76,0.0,0.0,0.83,LPC,59893
35039,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Ontario,ON,56.1,36.78,5.25,0.0,1.19,0.44,LPC,69464
35040,Hastings--Lennox and Addington--Tyendinaga,Ontario,ON,40.35,54.32,3.55,0.0,1.21,0.57,CPC,66281
35041,Humber River--Black Creek,Ontario,ON,55.62,35.8,6.38,0.0,0.0,1.62,LPC,38398
35042,Huron--Bruce,Ontario,ON,41.54,53.16,3.3,0.0,1.33,0.0,CPC,69657
35043,Kanata,Ontario,ON,60.76,35.67,2.29,0.0,1.12,0.0,LPC,74460
35044,Kapuskasing--Timmins--Mushkegowuk,Ontario,ON,38.96,48.93,10.38,0.0,0.0,1.73,CPC,47137
35045,Kenora--Kiiwetinoong,Ontario,ON,35.16,48.75,13.75,0.0,1.06,0.76,CPC,26892
35046,Kingston and the Islands/Kingston et les Îles,Ontario,ON,63.23,30.64,4.74,0.0,1.39,0.0,LPC,76993
35047,King--Vaughan,Ontario,ON,35.95,61.53,1.14,0.0,0.85,0.54,CPC,67747
35048,Kitchener Centre/Kitchener-Centre,Ontario,ON,29.27,34.25,1.96,0.0,33.61,0.57,CPC,59084
35049,Kitchener--Conestoga,Ontario,ON,48.32,47.48,2.93,0.0,0.0,1.27,LPC,62087
35050,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Ontario,ON,46.24,47.94,3.02,0.0,2.0,0.64,CPC,60431
35051,Lanark--Frontenac,Ontario,ON,45.57,50.41,2.93,0.0,1.09,0.0,CPC,67813
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Ontario,ON,44.39,50.05,3.5,0.0,1.17,0.89,CPC,66811
35053,London Centre/London-Centre,Ontario,ON,56.74,31.09,9.66,0.0,1.47,0.87,LPC,59923
35054,London--Fanshawe,Ontario,ON,30.52,40.58,27.57,0.0,0.0,1.33,CPC,58523
35055,London West/London-Ouest,Ontario,ON,56.22,37.0,5.51,0.0,0.68,0.0,LPC,62808
35056,Markham--Stouffville,Ontario,ON,51.36,45.26,1.82,0.0,0.7,0.64,LPC,61644
35057,Markham--Thornhill,Ontario,ON,54.54,41.65,2.03,0.0,0.0,1.48,LPC,50429
35058,Markham--Unionville,Ontario,ON,47.05,50.65,1.35,0.0,0.94,0.0,CPC,53414
35059,Middlesex--London,Ontario,ON,42.09,51.67,4.13,0.0,1.0,0.83,CPC,69847
35060,Milton East--Halton Hills South/Milton-Est--Halton Hills-Sud,Ontario,ON,48.25,48.22,1.54,0.0,1.01,0.71,LPC,66685
35061,Mississauga Centre/Mississauga-Centre,Ontario,ON,53.85,41.85,2.73,0.0,0.0,1.1,LPC,54976
35062,Mississauga East--Cooksville/Mississauga-Est--Cooksville,Ontario,ON,50.2,44.61,2.79,0.0,0.0,1.78,LPC,54056
35063,Mississauga--Erin Mills,Ontario,ON,55.71,39.97,2.18,0.0,0.61,1.22,LPC,60039
35064,Mississauga--Lakeshore,Ontario,ON,52.35,44.04,1.88,0.0,0.88,0.5,LPC,66797
35065,Mississauga--Malton,Ontario,ON,53.3,42.18,2.57,0.0,0.0,1.96,LPC,50268
35066,Mississauga--Streetsville,Ontario,ON,51.53,44.86,2.29,0.0,0.72,0.6,LPC,60731
35067,Nepean,Ontario,ON,63.78,33.25,1.97,0.0,0.64,0.36,LPC,72237
35068,Newmarket--Aurora,Ontario,ON,47.02,50.62,2.36,0.0,0.0,0.0,CPC,62312
35069,New Tecumseth--Gwillimbury,Ontario,ON,36.97,59.35,1.85,0.0,1.08,0.75,CPC,66125
35070,Niagara Falls--Niagara-on-the-Lake,Ontario,ON,44.89,49.14,3.85,0.0,0.85,0.79,CPC,60595
35071,Niagara South/Niagara-Sud,Ontario,ON,43.91,47.81,5.61,0.0,0.89,1.49,CPC,76763
35072,Niagara West/Niagara-Ouest,Ontario,ON,43.21,51.72,3.21,0.0,0.0,0.83,CPC,70413
35073,Nipissing--Timiskaming,Ontario,ON,47.24,44.59,6.06,0.0,1.0,1.11,LPC,58576
35074,Northumberland--Clarke,Ontario,ON,45.86,48.97,2.94,0.0,0.88,0.73,CPC,71192
35075,Oakville East/Oakville-Est,Ontario,ON,51.14,44.85,2.79,0.0,0.58,0.55,LPC,60872
35076,Oakville West/Oakville-Ouest,Ontario,ON,53.08,44.41,1.38,0.0,0.6,0.42,LPC,60043
35077,Orléans,Ontario,ON,67.44,28.01,2.62,0.0,0.83,0.42,LPC,78803
35078,Oshawa,Ontario,ON,42.96,48.17,7.66,0.0,1.21,0.0,CPC,66700
35079,Ottawa Centre/Ottawa-Centre,Ontario,ON,62.73,15.6,19.59,0.0,1.13,0.0,LPC,81338
35080,Ottawa South/Ottawa-Sud,Ontario,ON,65.18,27.06,6.03,0.0,0.96,0.0,LPC,66564
35081,Ottawa--Vanier--Gloucester,Ontario,ON,67.37,21.46,7.57,0.0,1.97,0.51,LPC,68183
35082,Ottawa West--Nepean/Ottawa-Ouest--Nepean,Ontario,ON,63.64,27.05,7.08,0.0,1.14,0.75,LPC,68445
35083,Oxford,Ontario,ON,38.17,53.38,4.26,0.0,1.25,0.9,CPC,71551
35084,Parry Sound--Muskoka,Ontario,ON,42.63,52.19,3.56,0.0,0.0,1.62,CPC,64653
35085,Perth--Wellington,Ontario,ON,40.79,53.01,4.54,0.0,0.0,1.67,CPC,64092
35086,Peterborough,Ontario,ON,54.25,41.04,3.04,0.0,0.83,0.34,LPC,79059
35087,Pickering--Brooklin,Ontario,ON,54.16,41.16,2.58,0.0,0.75,0.9,LPC,71232
35088,Prescott--Russell--Cumberland,Ontario,ON,54.78,40.35,2.42,0.0,1.1,1.02,LPC,71393
35089,Richmond Hill South/Richmond Hill-Sud,Ontario,ON,44.4,52.26,1.8,0.0,0.84,0.42,CPC,58584
35090,Sarnia--Lambton--Bkejwanong,Ontario,ON,37.89,53.15,5.35,0.0,0.0,1.49,CPC,76389
35091,Sault Ste. Marie--Algoma,Ontario,ON,47.36,44.72,6.62,0.0,0.83,0.0,LPC,65317
35092,Scarborough--Agincourt,Ontario,ON,54.31,42.84,2.86,0.0,0.0,0.0,LPC,50733
