riding_code,riding_name,seat_vacant
35119,Windsor West/Windsor-Ouest,False
35120,York Centre/York-Centre,False
35121,York--Durham,False
35122,York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke,False
46001,Brandon--Souris,False
46002,Churchill--Keewatinook Aski,False
46003,Elmwood--Transcona,False
46004,Kildonan--St. Paul,False
46005,Portage--Lisgar,False
46006,Provencher,False
46007,Riding Mountain/Mont-Riding,False
46008,St. Boniface--St. Vital/Saint-Boniface--Saint-Vital,False
46009,Selkirk--Interlake--Eastman,False
46010,Winnipeg Centre/Winnipeg-Centre,False
46011,Winnipeg North/Winnipeg-Nord,False
46012,Winnipeg South/Winnipeg-Sud,False
46013,Winnipeg South Centre/Winnipeg-Centre-Sud,False
46014,Winnipeg West/Winnipeg-Ouest,False
47001,Battlefords--Lloydminster--Meadow Lake,False
47002,Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,False
47003,Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,False
47004,Moose Jaw--Lake Centre--Lanigan,False
47005,Prince Albert,False
47006,Regina--Lewvan,False
47007,Regina--Qu'Appelle,False
47008,Regina--Wascana,False
47009,Saskatoon South/Saskatoon-Sud,False
47010,Saskatoon--University,False
47011,Saskatoon West/Saskatoon-Ouest,False
47012,Souris--Moose Mountain,False
47013,Swift Current--Grasslands--Kindersley,False
47014,Yorkton--Melville,False
48001,Airdrie--Cochrane,False
48002,Battle River--Crowfoot,False
48003,Bow River,False
48004,Calgary Centre/Calgary-Centre,False
48005,Calgary Confederation,False
48006,Calgary Crowfoot,False
48007,Calgary East/Calgary-Est,False
48008,Calgary Heritage,False
48009,Calgary McKnight,False
48010,Calgary Midnapore,False
48011,Calgary Nose Hill,False
48012,Calgary Shepard,False
48013,Calgary Signal Hill,False
48014,Calgary Skyview,False
48015,Edmonton Centre/Edmonton-Centre,False
48016,Edmonton Gateway,False
48017,Edmonton Griesbach,False
48018,Edmonton Manning,False
48019,Edmonton Northwest/Edmonton-Nord-Ouest,False
48020,Edmonton Riverbend,False
48021,Edmonton Southeast/Edmonton-Sud-Est,False
48022,Edmonton Strathcona,False
48023,Edmonton West/Edmonton-Ouest,False
48024,Foothills,False
48025,Fort McMurray--Cold Lake,False
48026,Grande Prairie,False
48027,Lakeland,False
48028,Leduc--Wetaskiwin,False
48029,Lethbridge,False
48030,Medicine Hat--Cardston--Warner,False
48031,Parkland,False
48032,Peace River--Westlock,False
48033,Ponoka--Didsbury,False
48034,Red Deer,False
48035,Sherwood Park--Fort Saskatchewan,False
48036,St. Albert--Sturgeon River,False
48037,Yellowhead,False
59001,Abbotsford--South Langley/Abbotsford--Langley-Sud,False
59002,Burnaby Central,False
59003,Burnaby North--Seymour/Burnaby-Nord--Seymour,False
59004,Cariboo--Prince George,False
59005,Chilliwack--Hope,False
59006,Cloverdale--Langley City,False
59007,Columbia--Kootenay--Southern Rockies,False
59008,Coquitlam--Port Coquitlam,False
59009,Courtenay--Alberni,False
59010,Cowichan--Malahat--Langford,False
59011,Delta,False
59012,Esquimalt--Saanich--Sooke,False
59013,Fleetwood--Port Kells,False
59014,Kamloops--Shuswap--Central Rockies,False
59015,Kamloops--Thompson--Nicola,False
59016,Kelowna,False
59017,Langley Township--Fraser Heights,False
59018,Mission--Matsqui--Abbotsford,False
