riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
24052,Notre-Dame-de-Grâce--Westmount,Quebec,LPC,65.5,15.5,8.4,4.6,5.2,0.8
24053,Outremont,Quebec,LPC,55.8,9.1,11.6,11.0,12.3,0.2
24054,Papineau,Quebec,LPC,56.0,7.6,16.8,16.1,2.3,1.2
24055,Pierre-Boucher--Les Patriotes--Verchères,Quebec,BQ,37.7,9.2,3.2,46.4,2.4,1.0
24056,Pierrefonds--Dollard,Quebec,LPC,62.5,25.3,3.8,5.0,2.5,0.9
24057,Pontiac--Kitigan Zibi,Quebec,LPC,56.3,23.2,6.5,9.6,3.1,1.3
24058,Portneuf--Jacques-Cartier,Quebec,CPC,28.2,47.8,3.0,16.9,3.1,0.9
24059,Québec Centre/Québec-Centre,Quebec,LPC,50.4,0.1,9.0,33.6,1.9,4.9
24060,Repentigny,Quebec,BQ,38.8,11.9,3.6,42.8,2.2,0.6
24061,Richmond--Arthabaska,Quebec,CPC,32.5,33.7,3.1,26.7,2.6,1.4
24062,Rimouski--La Matapédia,Quebec,BQ,35.2,10.1,3.6,48.3,2.0,0.8
24063,Rivière-des-Mille-Îles,Quebec,LPC,47.6,13.2,3.9,31.3,3.2,0.7
24064,Rivière-du-Nord,Quebec,BQ,30.6,17.0,4.4,44.9,2.6,0.4
24065,Rosemont--La Petite-Patrie,Quebec,NDP,30.7,4.1,43.4,17.4,4.2,0.1
24066,Saint-Hyacinthe--Bagot--Acton,Quebec,BQ,32.0,15.1,5.9,42.7,3.3,1.0
24067,Saint-Jean,Quebec,BQ,33.3,13.0,3.9,45.6,3.4,1.0
24068,Saint-Laurent,Quebec,LPC,60.8,23.6,5.3,5.3,4.0,1.0
24069,Saint-Léonard--Saint-Michel,Quebec,LPC,67.0,17.0,6.2,6.7,1.9,1.2
24070,Saint-Maurice--Champlain,Quebec,LPC,52.7,20.7,3.0,20.1,2.7,0.7
24071,Shefford,Quebec,BQ,38.8,14.5,3.7,39.6,2.0,1.5
24072,Sherbrooke,Quebec,LPC,51.8,10.1,8.6,24.6,3.6,1.2
24073,Terrebonne,Quebec,LPC,39.1,14.2,4.2,38.7,2.8,1.0
24074,Thérèse-De Blainville,Quebec,LPC,48.1,14.5,3.7,30.9,1.9,0.9
24075,Trois-Rivières,Quebec,LPC,42.2,23.4,5.5,25.9,2.3,0.7
24076,Vaudreuil,Quebec,LPC,59.4,18.7,3.9,14.0,3.2,0.9
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,LPC,65.6,14.2,7.2,8.4,4.2,0.3
