riding_code,riding_name,province,region,LPC_e,CPC_e,NDP_e,BQ_e,GPC_e,PPC_e,n_obs
24063,Rivière-des-Mille-Îles,Quebec,QC,1.0632,1.1033,1.0689,1.2926,1.0483,1.0717,2
24064,Rivière-du-Nord,Quebec,QC,1.0189,0.9969,0.6343,1.3518,1.3432,1.7234,2
24065,Rosemont--La Petite-Patrie,Quebec,QC,0.9763,0.7826,0.5545,0.8772,1.067,0.3132,2
24066,Saint-Hyacinthe--Bagot--Acton,Quebec,QC,1.091,0.6085,2.0742,0.9203,1.0844,1.1668,2
24067,Saint-Jean,Quebec,QC,0.8751,0.8682,0.8081,0.7498,0.9896,0.1319,2
24068,Saint-Laurent,Quebec,QC,0.5906,1.1425,0.5781,0.8018,1.3152,1.2482,2
24069,Saint-Léonard--Saint-Michel,Quebec,QC,0.419,0.8979,0.2677,0.687,0.9469,1.4753,2
24070,Saint-Maurice--Champlain,Quebec,QC,0.9364,1.0146,0.649,1.3966,0.8402,0.033,2
24071,Shefford,Quebec,QC,0.858,0.7189,0.7905,0.7624,0.979,1.4009,2
24072,Sherbrooke,Quebec,QC,1.2169,0.6793,2.0145,0.809,0.8242,1.2504,2
24073,Terrebonne,Quebec,QC,1.0077,1.215,0.886,0.818,0.9029,1.2106,2
24074,Thérèse-De Blainville,Quebec,QC,1.0775,1.1179,0.7583,1.3921,0.9576,1.1991,2
24075,Trois-Rivières,Quebec,QC,1.1546,0.7441,1.8815,0.7696,0.7548,0.8723,2
24076,Vaudreuil,Quebec,QC,1.0,1.0,1.0,1.0,1.0,1.0,0
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,QC,1.1895,1.2094,0.8303,0.9149,1.1818,1.2027,2
24078,Vimy,Quebec,QC,0.7631,1.4151,0.4961,1.1436,1.1111,1.7695,2
35001,Ajax,Ontario,ON,0.5207,0.9213,1.3584,1.0,0.9078,0.3574,2
35002,Algonquin--Renfrew--Pembroke,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,ON,0.0715,0.5484,0.7445,1.0,0.5183,0.8377,2
35004,Barrie South--Innisfil/Barrie-Sud--Innisfil,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35005,Barrie--Springwater--Oro-Medonte,Ontario,ON,0.8589,1.5865,1.3583,1.0,1.076,1.229,2
35006,Bay of Quinte,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35007,Beaches--East York,Ontario,ON,0.8295,0.7678,1.0843,1.0,1.0397,0.7449,2
35008,Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35009,Brampton Centre/Brampton-Centre,Ontario,ON,0.3925,1.7547,0.4677,1.0,0.444,0.259,2
35010,Brampton--Chinguacousy Park,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35011,Brampton East/Brampton-Est,Ontario,ON,0.0012,1.6237,0.4514,1.0,0.5216,0.4556,2
35012,Brampton North--Caledon/Brampton-Nord--Caledon,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35013,Brampton South/Brampton-Sud,Ontario,ON,0.191,1.2873,0.417,1.0,0.7098,0.9162,2
35014,Brampton West/Brampton-Ouest,Ontario,ON,-0.0157,1.8018,0.3933,1.0,0.4221,0.7096,2
35015,Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35016,Bruce--Grey--Owen Sound,Ontario,ON,1.4661,1.0262,1.1742,1.0,1.0738,1.2558,2
35017,Burlington,Ontario,ON,1.0818,1.1583,0.7916,1.0,1.0797,0.8286,2
35018,Burlington North--Milton West/Burlington-Nord--Milton-Ouest,Ontario,ON,1.0,1.0,1.0,1.0,1.0,1.0,0
35019,Cambridge,Ontario,ON,0.8556,1.5597,0.4424,1.0,1.1917,1.1525,2
35020,Carleton,Ontario,ON,1.4072,0.8451,1.2413,1.0,0.9696,0.6719,2
35021,Chatham-Kent--Leamington,Ontario,ON,0.9734,0.6745,0.4943,1.0,0.7403,2.1284,2
