date,firm,LPC,CPC,NDP,BQ,GPC,PPC,sample_size
2025-09-01,Mainstreet,42.0,40.0,8.0,5.0,1.0,2.0,
2025-08-29,Nanos,43.0,32.0,13.0,6.0,3.0,2.0,
2025-08-27,Liaison,44.0,35.0,10.0,5.0,2.0,2.0,
2025-08-22,Nanos,44.0,34.0,11.0,6.0,3.0,2.0,
2025-08-19,Abacus,39.0,41.0,7.0,7.0,2.0,,
2025-08-15,Nanos,44.0,32.0,12.0,5.0,3.0,3.0,
2025-08-08,Nanos,45.0,32.0,12.0,6.0,3.0,3.0,
2025-08-08,Liaison,44.0,35.0,11.0,6.0,3.0,1.0,
2025-08-07,Abacus,43.0,40.0,8.0,6.0,2.0,,
2025-08-04,Leger,46.0,36.0,6.0,7.0,3.0,,
2025-08-01,Pallas,43.0,38.0,8.0,6.0,2.0,,
2025-08-01,Nanos,44.0,33.0,12.0,5.0,3.0,3.0,
2025-07-28,Innovative,41.0,39.0,9.0,7.0,4.0,,
2025-07-25,Nanos,44.0,34.0,12.0,6.0,2.0,2.0,
2025-07-18,Nanos,44.0,34.0,10.0,7.0,2.0,2.0,
2025-07-15,Abacus,43.0,40.0,7.0,7.0,2.0,1.0,
2025-07-14,EKOS,43.0,31.0,13.0,6.0,4.0,4.0,
2025-07-11,Nanos,45.0,34.0,11.0,6.0,2.0,2.0,
2025-07-04,Nanos,45.0,33.0,12.0,6.0,2.0,2.0,
2025-07-04,Leger,48.0,35.0,7.0,6.0,3.0,,
2025-07-02,Abacus,41.0,40.0,9.0,7.0,2.0,2.0,
2025-07-02,Research Co,47.0,37.0,6.0,6.0,2.0,1.0,
2025-06-30,Innovative,43.0,38.0,8.0,6.0,3.0,,
2025-06-27,Nanos,45.0,31.0,13.0,6.0,3.0,2.0,
2025-06-26,Mainstreet,47.0,38.0,6.0,3.0,3.0,1.0,
2025-06-20,Nanos,45.0,31.0,12.0,6.0,3.0,2.0,
2025-06-19,Abacus,42.0,39.0,7.0,6.0,3.0,1.0,
2025-06-13,Nanos,44.0,32.0,11.0,6.0,3.0,2.0,
2025-06-06,Nanos,43.0,33.0,12.0,7.0,4.0,1.0,
2025-06-05,Abacus,42.0,39.0,8.0,6.0,3.0,1.0,
2025-06-04,EKOS,44.0,32.0,13.0,5.0,3.0,3.0,
2025-05-30,Nanos,42.0,36.0,11.0,7.0,3.0,1.0,
2025-05-30,Spark,41.0,40.0,8.0,7.0,,,
2025-05-23,Nanos,40.0,39.0,10.0,6.0,4.0,1.0,
2025-05-22,Innovative,42.0,39.0,8.0,6.0,3.0,,
2025-05-21,Abacus,41.0,40.0,8.0,7.0,3.0,1.0,
2025-05-16,Nanos,41.0,40.0,9.0,5.0,4.0,1.0,
2025-05-07,Nanos,42.0,41.0,8.0,5.0,3.0,1.0,
2025-05-02,Nanos,42.0,39.0,8.0,6.0,3.0,1.0,
